,robot index,width,depth,height,voxels,wheels,sensors,limbs,casters,norm,skeleton norm,components norm,replicate_index,replicate,environment,encoding,parent 1,parent 2,evaluation time,time,fitness
825,6404,0.909091,0.727273,0.363636,0.0721262,6.0,0.0,2.0,0.0,1.2841556728186967,1.2218043182246656,0.39528470752104744,5963,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,1002,-1,0.07498512333333333,5.176645374722222,0.1875
826,7628,0.909091,0.636364,0.454545,0.054846,6.0,0.0,2.0,0.0,1.2638333859801298,1.2004269355183597,0.39528470752104744,7089,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,4600,-1,0.04971315972222222,6.1540520913888885,0.1875
827,5522,0.909091,0.727273,0.272727,0.040571,6.0,0.0,2.0,0.0,1.2600192400832615,1.1964106675301753,0.39528470752104744,5104,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,5252,-1,0.04097598527777778,4.413388456111111,0.1875
828,7141,0.909091,0.727273,0.454545,0.0503381,6.0,0.0,2.0,0.0,1.311780295684689,1.2508067573156973,0.39528470752104744,6660,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,6376,-1,0.04592383055555556,5.822602165833334,0.183594
829,7592,0.909091,0.818182,0.363636,0.0480841,5.0,1.0,2.0,0.0,1.321967833411165,1.2768756605769451,0.3423265984407288,7051,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,3671,-1,0.07380096388888889,6.154022457777778,0.183594
830,4444,0.545455,0.727273,0.0,0.0195342,6.0,0.0,2.0,0.0,0.9915032821547491,0.9093012474002441,0.39528470752104744,4142,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,2080,-1,0.04509285111111111,3.3554716444444446,0.210938
831,2863,0.545455,0.545455,0.0,0.0180316,6.0,0.0,2.0,0.0,0.8669587375697646,0.7716005784397522,0.39528470752104744,2690,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,2490,-1,0.04199696888888889,2.163313938611111,0.203125
832,1737,0.545455,0.818182,0.0909091,0.0240421,6.0,0.0,2.0,0.0,1.0639715358900443,0.9878185203691111,0.39528470752104744,1605,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,570,-1,0.04311959138888889,1.3476078147222221,0.203125
833,8372,0.545455,0.727273,0.0,0.0195342,6.0,0.0,2.0,0.0,0.9915032821547491,0.9093012474002441,0.39528470752104744,7906,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,1338,-1,0.04156311,6.291602852222222,0.199219
834,8043,0.545455,0.545455,0.0,0.0180316,6.0,0.0,2.0,0.0,0.8669587375697646,0.7716005784397522,0.39528470752104744,7594,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,3821,-1,0.06458761833333333,6.0607485727777775,0.195312
835,2377,0.545455,0.727273,0.0,0.0210368,6.0,0.0,2.0,0.0,0.9915340238782732,0.9093347681180127,0.39528470752104744,2231,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,1683,-1,0.04124473638888889,1.7966628525,0.195312
836,4734,0.545455,0.727273,0.0,0.0210368,6.0,0.0,2.0,0.0,0.9915340238782732,0.9093347681180127,0.39528470752104744,4464,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,3618,-1,0.0415939025,3.5812962927777776,0.195312
837,9910,0.727273,0.818182,0.0909091,0.0240421,6.0,0.0,2.0,0.0,1.1676644589470984,1.0987221162278566,0.39528470752104744,9422,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,8201,-1,0.07214052527777778,7.4495477277777775,0.191406
838,8201,0.545455,0.636364,0.0909091,0.0210368,6.0,0.0,2.0,0.0,0.9313631455764448,0.8433192212549468,0.39528470752104744,7754,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,570,-1,0.045533035,6.162472171666667,0.1875
839,8632,0.545455,0.545455,0.0,0.0180316,6.0,0.0,2.0,0.0,0.8669587375697646,0.7716005784397522,0.39528470752104744,8211,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_23-46-14-4703-270335141,cracks,SQ_CPPN,7838,-1,0.061610973888888886,6.517285776111111,0.183594
